fq_label,announce_date,timing,t0,tm1_date,tm1_abs,tm1_bench,tm1_rel,t0_date,t0_abs,t0_bench,t0_rel,tp1_date,tp1_abs,tp1_bench,tp1_rel,timing_flag
1Q16,2016-05-05,BMO,2016-05-05,2016-05-04,-213.0475056239245,-141.55382700633723,-71.49367861758726,2016-05-05,294.7539210383998,141.36437735699437,153.38954368140546,2016-05-06,-10.506960861570436,-115.6133203843932,105.10635952282277,False
2Q16,2016-08-03,BMO,2016-08-03,2016-08-02,-63.867373284413056,74.17591619548847,-138.04328947990152,2016-08-03,172.31947483588473,153.75835211723788,18.561122718646853,2016-08-04,-17.47781661736947,66.33516341350565,-83.81298003087511,False
3Q16,2016-11-01,BMO,2016-11-01,2016-10-31,-97.7862284394948,-149.95004941714663,52.16382097765182,2016-11-01,-536.2776025236593,72.85531297350457,-609.1329154971638,2016-11-02,-175.3623188405784,-55.86719852477273,-119.49512031580566,False
4Q16,2017-02-09,BMO,2017-02-09,2017-02-08,-7.4827895839568725,7.86401247621038,-15.346802060167253,2017-02-09,212.67036094054336,130.550506449695,82.11985449084835,2017-02-10,41.06173925795487,93.154270729618,-52.09253147166314,False
1Q17,2017-05-04,BMO,2017-05-04,2017-05-03,21.652231845437075,94.16538534120389,-72.51315349576682,2017-05-04,-357.32092404852864,-280.69945204100867,-76.62147200752,2017-05-05,410.20337814546616,209.765356315319,200.43802183014714,False
2Q17,2017-08-02,AMC,2017-08-03,2017-08-02,-26.003575491631015,8.353482010991176,-34.35705750262219,2017-08-03,29.330291673455022,-254.5028558469915,283.8331475204465,2017-08-04,87.73354995938342,192.37871935740094,-104.6451693980175,False
3Q17,2017-11-01,AMC,2017-11-02,2017-11-01,137.83490785194363,147.15757674638795,-9.322668894444323,2017-11-02,372.7467155514841,-5.208818436813978,377.95553398829804,2017-11-03,53.01914580265077,74.13905300312251,-21.11990720047174,False
4Q17,2018-02-13,AMC,2018-02-14,2018-02-13,-21.468441391155892,-48.505226680090274,27.036785288934386,2018-02-14,18.646012621914565,311.69042211269596,-293.0444094907814,2018-02-15,-60.12884753042069,-5.651065909034303,-54.47778162138639,False
1Q18,2018-05-08,AMC,2018-05-09,2018-05-08,119.04761904761862,157.53305756397884,-38.48543851636022,2018-05-09,537.0843989769813,179.5330605109622,357.55133846601916,2018-05-10,177.18446601941773,-13.92286057164216,191.10732659105992,False
2Q18,2018-08-08,AMC,2018-08-09,2018-08-08,-90.30998291432724,-116.26863982100933,25.958656906682094,2018-08-09,-419.950738916256,-68.82567445470488,-351.1250644615511,2018-08-10,127.26571538758114,59.2903876241726,67.97532776340853,False
