fq_label,announce_date,timing,t0,tm1_date,tm1_abs,tm1_bench,tm1_rel,t0_date,t0_abs,t0_bench,t0_rel,tp1_date,tp1_abs,tp1_bench,tp1_rel,timing_flag
1Q17,2017-04-25,BMO,2017-07-05,,,,,2017-07-05,,-190.18532010550538,,2017-07-06,-64.42953020134313,-144.38835605868783,79.9588258573447,False
2Q17,2017-07-28,BMO,2017-07-28,2017-07-27,30.513176144244536,32.41739474904137,-1.9042186047968368,2017-07-28,259.95575221239073,31.59649723372182,228.35925497866893,2017-07-31,-56.603773584905646,-46.844699389361196,-9.759074195544448,False
3Q17,2017-10-20,BMO,2017-10-20,2017-10-19,-192.30769230769164,-146.945764516363,-45.36192779132864,2017-10-20,33.18250377073895,-115.01505040009464,148.19755417083357,2017-10-23,-538.1840048105835,-223.95784510374327,-314.2261597068402,False
4Q17,2018-01-24,BMO,2018-01-24,2018-01-23,75.949367088608,1.7751606833177336,74.17420640529026,2018-01-24,-569.5142378559459,-196.1097760142083,-373.4044618417376,2018-01-25,-435.1687388987568,-67.01080776682966,-368.15793113192717,False
1Q18,2018-04-20,BMO,2018-04-20,2018-04-19,-14.81042654028375,-11.9440156641476,-2.8664108761361495,2018-04-20,83.06140611094692,-79.5079631483675,162.5693692593144,2018-04-23,282.4360105913515,-14.45085982094807,296.8868704122996,False
2Q18,2018-07-20,BMO,2018-07-20,2018-07-19,-236.55913978494536,7.418729495973775,-243.97786928091912,2018-07-20,69.2259282567642,-35.32395402807309,104.54988228483731,2018-07-23,156.25,-431.34630036541887,587.5963003654189,False
3Q18,2018-10-30,BMO,2018-10-30,2018-10-29,-281.43274853801194,-239.49839314091116,-41.934355397100774,2018-10-30,251.97442647612033,177.51730890745887,74.45711756866147,2018-10-31,-209.0975788701399,-150.71421904956307,-58.38335982057685,False
4Q18,2019-01-31,BMO,2019-01-31,2019-01-30,336.78756476684055,230.3300427287458,106.45752203809478,2019-01-31,-154.55304928989167,-121.03720128110396,-33.51584800878771,2019-02-01,330.92914722104405,160.75727395685746,170.1718732641866,False
1Q19,2019-04-30,BMO,2019-04-30,2019-04-29,152.46286161063384,1.1467293198474948,151.31613229078633,2019-04-30,-750.8663842895646,-162.81438750854304,-588.0519967810216,2019-05-01,-195.6702747710237,-284.07126677784333,88.4009920068196,False
2Q19,2019-07-31,BMO,2019-07-31,2019-07-30,174.3462017434627,273.29316673370244,-98.94696499023969,2019-07-31,359.03712770297693,9.993896856881346,349.0432308460956,2019-08-01,-47.26270185112291,-473.94132555938717,426.67862370826424,False
3Q19,2019-10-30,BMO,2019-10-30,2019-10-29,-40.92769440654842,-13.133944572139011,-27.79374983440941,2019-10-30,-127.85388127853791,-473.5041399384665,345.6502586599286,2019-10-31,-101.75763182238784,-110.80184750040523,9.044215678017387,False
4Q19,2020-01-22,BMO,2020-01-22,2020-01-21,-372.7234222786946,-224.68981183564108,-148.03361044305353,2020-01-22,-21.997360316762247,-2.879990527171472,-19.117369789590775,2020-01-23,123.45679012345734,-107.20847929324984,230.66526941670716,False
1Q20,2020-04-22,BMO,2020-04-22,2020-04-21,-177.19568567026278,-282.34253004895237,105.1468443786896,2020-04-22,188.23529411764684,737.324728937816,-549.0894348201691,2020-04-23,446.4973056197086,803.8134405084585,-357.3161348887499,False
2Q20,2020-07-22,BMO,2020-07-22,2020-07-21,837.2093023255811,642.9866661490347,194.22263617654644,2020-07-22,91.96811771919222,-148.575933097988,240.54405081718022,2020-07-23,139.732685297691,234.8944526480834,-95.1617673503924,False
3Q20,2020-10-21,BMO,2020-10-21,2020-10-20,396.6437833714731,394.07582017356833,2.5679631979047546,2020-10-21,300.8070432868659,-182.41119758227563,483.21824086914154,2020-10-22,299.1452991453003,242.61647194424918,56.52882720105112,False
4Q20,2021-01-21,BMO,2021-01-21,2021-01-20,8.745080891998658,-125.74531703793079,134.49039792992946,2021-01-21,-148.5364788117083,-395.6295135041682,247.09303469245992,2021-01-22,-168.5144124168514,1.681476223244771,-170.19588864009617,False
1Q21,2021-04-21,BMO,2021-04-21,2021-04-20,-259.6105841238139,-449.26729897108885,189.65671484727497,2021-04-21,20.50230650948226,-84.15291806818159,104.65522457766386,2021-04-22,138.10741687979578,-61.862718565531274,199.97013544532706,False
2Q21,2021-07-21,BMO,2021-07-21,2021-07-20,198.4732824427482,294.06195245995747,-95.58867001720928,2021-07-21,94.8103792415167,392.8184174771565,-298.0080382356398,2021-07-22,-173.0103806228378,-132.10275311516085,-40.907627507676956,False
3Q21,2021-10-20,BMO,2021-10-20,2021-10-19,-33.3827893175076,72.92164696158233,-106.30443627908991,2021-10-20,-565.6866393747673,97.9174570213448,-663.604096396112,2021-10-21,-426.0355029585805,-273.07814317436896,-152.95735978421155,False
4Q21,2022-01-20,BMO,2022-01-20,2022-01-19,-190.29850746268727,-97.06569402893328,-93.232813433754,2022-01-20,163.5602890833021,-49.021842571645436,212.58213165494755,2022-01-21,194.61077844311393,-199.7272170092279,394.33799545234183,False
1Q22,2022-04-20,BMO,2022-04-20,2022-04-19,-184.34410900347254,-68.24257634776343,-116.10153265570911,2022-04-20,-383.7778987479601,-293.31752144662715,-90.46037730133294,2022-04-21,-684.9702802151147,-319.88701447464297,-365.0832657404718,False
2Q22,2022-07-20,BMO,2022-07-20,2022-07-19,390.2798232695126,270.2227086091713,120.0571146603413,2022-07-20,-825.655563430191,-45.63340201555077,-780.0221614146402,2022-07-21,-374.6620316724603,-266.08000269086165,-108.58202898159863,False
3Q22,2022-10-19,BMO,2022-10-19,2022-10-18,104.47137484329349,136.6888978547376,-32.217523011444094,2022-10-19,607.9404466501237,489.5363649138784,118.40408173624527,2022-10-20,116.95906432748649,-22.741892287285737,139.70095661477222,False
4Q22,2023-01-23,BMO,2023-01-23,2023-01-20,190.2263037061336,59.59037721745386,130.63592648867973,2023-01-23,-154.4898616028323,-144.6497353948656,-9.840126207966705,2023-01-24,-143.8378555083364,-124.87665694042471,-18.961198567911673,False
1Q23,2023-04-19,BMO,2023-04-19,2023-04-18,120.06861063464936,76.3542066845957,43.71440395005366,2023-04-19,359.32203389830386,78.02996922919525,281.2920646691086,2023-04-20,-153.79581151832465,-97.88218008897454,-55.91363142935013,False
2Q23,2023-07-19,BMO,2023-07-19,2023-07-18,112.55411255411296,141.9602924119101,-29.40617985779714,2023-07-19,45.66210045662267,-110.97404301287806,156.63614346950072,2023-07-20,-153.40909090909238,-84.37210418835828,-69.0369867207341,False
