fq_label,announce_date,timing,t0,tm1_date,tm1_abs,tm1_bench,tm1_rel,t0_date,t0_abs,t0_bench,t0_rel,tp1_date,tp1_abs,tp1_bench,tp1_rel,timing_flag
1Q16,2016-04-29,BMO,2016-04-29,2016-04-28,-48.609541035495866,-176.55851391080012,127.94897287530426,2016-04-29,42.03112575258405,22.679739087249295,19.351386665334758,2016-05-02,82.5791855203617,2.0955942427078877,80.48359127765382,False
2Q16,2016-07-29,BMO,2016-07-29,2016-07-28,-78.09921900780891,9.912444184060787,-88.01166319186972,2016-07-29,-138.58093126385862,151.91301948311596,-290.4939507469746,2016-08-01,-347.38617200674616,-270.9210567149827,-76.46511529176347,False
3Q16,2016-10-28,BMO,2016-10-28,2016-10-27,-19.520036743598812,70.54863955443614,-90.06867629803494,2016-10-28,-246.20340543028084,39.667490711815525,-285.8708961420964,2016-10-31,-172.210426987498,-135.065209707546,-37.14521727995201,False
4Q16,2017-01-31,BMO,2017-01-31,2017-01-30,-76.01450122792674,-255.9686163350632,179.95411510713643,2017-01-31,-114.30591562573645,101.87750039071597,-216.1834160164524,2017-02-01,-113.24353319823621,-21.87245761183765,-91.37107558639856,False
1Q17,2017-04-28,BMO,2017-04-28,2017-04-27,-17.19901719901773,-141.77664762499708,124.57763042597935,2017-04-28,47.99409303470448,3.165756449945656,44.828336584758816,2017-05-01,50.214329454989496,-83.76053694354124,133.97486639853074,False
2Q17,2017-07-28,BMO,2017-07-28,2017-07-27,57.23528679855594,108.4603177542629,-51.22503095570696,2017-07-28,-152.17122355561054,73.73200583618589,-225.9032293917964,2017-07-31,55.27638190955031,-22.65508267909877,77.93146458864908,False
3Q17,2017-10-27,BMO,2017-10-27,2017-10-26,36.07069856919498,53.52520391439653,-17.454505345201547,2017-10-27,28.752845333652743,25.99133952302557,2.761505810627172,2017-10-30,-20.30820690478885,71.94016069213593,-92.2483675969248,False
4Q17,2018-02-02,BMO,2018-02-02,2018-02-01,202.74914089347007,96.62190006712778,106.12724082634229,2018-02-02,-509.7114628943522,-361.840025902054,-147.87143699229821,2018-02-05,-569.0287471903466,-328.50407310782884,-240.52467408251775,False
1Q18,2018-04-27,BMO,2018-04-27,2018-04-26,171.06918238993796,145.65367363790614,25.41550875203181,2018-04-27,-379.6685629483054,-66.3100854408214,-313.358477507484,2018-04-30,-5.1420491065701235,63.74772193696576,-68.88977104353589,False
2Q18,2018-07-27,BMO,2018-07-27,2018-07-26,77.76049766718307,-5.585897557387032,83.3463952245701,2018-07-27,-275.4036087369416,-21.90208690562678,-253.5015218313148,2018-07-30,-21.97265625000111,80.96889052673117,-102.94154677673228,False
3Q18,2018-11-02,BMO,2018-11-02,2018-11-01,124.246987951806,104.84513895257663,19.401848999229358,2018-11-02,158.6711292921783,-91.66147835114202,250.33260764332033,2018-11-05,-37.827943868212756,263.86804130073347,-301.6959851689462,False
4Q18,2019-02-01,BMO,2019-02-01,2019-01-31,136.94840226863957,96.03408534781477,40.91431692082481,2019-02-01,360.262008733625,120.36272536846026,239.89928336516476,2019-02-04,-144.88935721812535,93.72090204731509,-238.61025926544045,False
1Q19,2019-04-26,BMO,2019-04-26,2019-04-25,56.26223091976357,-95.69877221870304,151.96100313846662,2019-04-26,-210.4110921916813,-193.99679770795976,-16.41429448372155,2019-04-29,-64.60429867064188,-55.809355361928766,-8.79494330871311,False
2Q19,2019-08-02,BMO,2019-08-02,2019-08-01,-255.5137170521793,-205.4555769826525,-50.058140069526786,2019-08-02,-97.98509522495058,-118.13218454877772,20.14708932382713,2019-08-05,-204.87804878048797,-372.9691031698412,168.09105438935325,False
3Q19,2019-11-01,BMO,2019-11-01,2019-10-31,-22.150029533373193,-15.749802319632744,-6.40022721374045,2019-11-01,300.4291845493556,237.36799125415686,63.061193295198755,2019-11-04,297.4137931034493,367.4065306527505,-69.99273754930125,False
4Q19,2020-01-31,BMO,2020-01-31,2020-01-30,106.06769614724732,28.07386824721192,77.9938279000354,2020-01-31,-412.1006328137067,-298.7125952034888,-113.38803761021789,2020-02-03,-223.76046361880287,-84.06786577649017,-139.6925978423127,False
1Q20,2020-05-01,BMO,2020-05-01,2020-04-30,-208.59671302149275,-120.2653211011744,-88.33139192031835,2020-05-01,-716.5913492575849,-633.6359497752557,-82.95539948232913,2020-05-04,403.3379694019468,352.40480849064767,50.9331609112991,False
2Q20,2020-07-31,BMO,2020-07-31,2020-07-30,-490.57460822166775,-488.0356383937719,-2.538969827895893,2020-07-31,50.155242417004864,-41.79490109313533,91.9501435101402,2020-08-03,40.39923954372693,-90.87060944452774,131.26984898825467,False
3Q20,2020-10-30,BMO,2020-10-30,2020-10-29,443.45898004434446,305.66722508122535,137.79175496311913,2020-10-30,-106.15711252653925,32.097764295108135,-138.2548768216474,2020-11-02,419.9877375843064,490.6549240771492,-70.66718649284279,False
4Q20,2021-02-02,BMO,2021-02-02,2021-02-01,17.84121320249632,155.31143625970233,-137.47022305720603,2021-02-02,158.05877114870805,73.44523498798927,84.61353616071875,2021-02-03,392.2857769011623,634.5493223138221,-242.26354541265982,False
1Q21,2021-04-30,BMO,2021-04-30,2021-04-29,142.8325589399404,64.18069060379317,78.65186833614723,2021-04-30,-288.42891075670065,-313.495986163508,25.0670754068074,2021-05-03,276.0307477288615,288.6939912981772,-12.663243569315703,False
2Q21,2021-07-30,BMO,2021-07-30,2021-07-29,121.95121951219522,41.429413192612955,80.52180631958228,2021-07-30,-230.78228406584023,-185.0044258652328,-45.777858200607426,2021-08-02,1.7370158068441555,-95.44188439548296,97.17890020232711,False
3Q21,2021-10-29,BMO,2021-10-29,2021-10-28,28.06798690160761,113.05404559831135,-84.98605869670374,2021-10-29,24.879489970455193,-73.25155447456977,98.13104444502497,2021-11-01,179.9286489840224,183.8345681175162,-3.905919133493814,False
4Q21,2022-02-01,BMO,2022-02-01,2022-01-31,90.32943676939409,-4.425429643119871,94.75486641251396,2022-02-01,641.1269088994209,299.3040551366777,341.82285376274325,2022-02-02,-25.980452802176757,47.715071686017964,-73.69552448819472,False
1Q22,2022-04-29,BMO,2022-04-29,2022-04-28,302.4574669187152,351.97839612022943,-49.520929201514186,2022-04-29,-223.62385321100908,-240.14825247872196,16.52439926771287,2022-05-02,136.07038123167214,176.643978573497,-40.57359734182486,False
2Q22,2022-07-29,BMO,2022-07-29,2022-07-28,116.85049688762828,18.02362699475779,98.82686989287048,2022-07-29,463.0829015544058,491.7065653288173,-28.62366377441153,2022-08-01,-252.75972351181287,-201.8415439031984,-50.918179608614444,False
3Q22,2022-10-28,BMO,2022-10-28,2022-10-27,38.267687138322515,-32.75913786067197,71.02682499899448,2022-10-28,292.88702928870424,26.927727728549566,265.9593015601547,2022-10-31,9.93676603432636,99.51037065476999,-89.57360462044362,False
4Q22,2023-01-31,BMO,2023-01-31,2023-01-30,-177.32030101202278,-293.2624016729988,115.942100660976,2023-01-31,215.74498062698177,53.75618785901337,161.98879276796842,2023-02-01,-109.47332126540866,-251.74923054757326,142.2759092821646,False
1Q23,2023-04-28,BMO,2023-04-28,2023-04-27,119.5322650498043,57.055048068993756,62.477216980810546,2023-04-28,129.24762475391648,206.3334688438654,-77.0858440899489,2023-05-01,-310.1233733310804,-52.289040264819505,-257.8343330662609,False
2Q23,2023-07-28,BMO,2023-07-28,2023-07-27,31.401655723666266,-88.111100598522,119.51275632218827,2023-07-28,-119.52191235059861,48.13924711212603,-167.66115946272464,2023-07-31,295.69892473118256,176.08254383772737,119.61638089345517,False
3Q23,2023-10-27,BMO,2023-10-27,2023-10-26,-91.16861589465009,-112.79605603857013,21.627440143920044,2023-10-27,-190.52044609665364,-227.0427571926532,36.52231109599956,2023-10-30,31.264803410706588,-16.93296661356336,48.19777002426995,False
4Q23,2024-02-02,BMO,2024-02-02,2024-02-01,-40.852057192880544,-45.38987513781567,4.53781794493513,2024-02-02,-41.01963082332239,-28.232751445818494,-12.786879377503892,2024-02-05,-41.18858487790589,-42.492270671288686,1.303685793382801,False
1Q24,2024-04-26,BMO,2024-04-26,2024-04-25,23.130937629078918,64.67156733210433,-41.54062970302542,2024-04-26,-277.7548833759169,17.830719682942366,-295.5856030588593,2024-04-29,142.42115971515813,8.091629291463454,134.32953042369468,False
2Q24,2024-08-02,BMO,2024-08-02,2024-08-01,-138.29159288304194,-294.3649064559892,156.0733135729473,2024-08-02,-5.9854638734513355,-254.78340489097982,248.7979410175285,2024-08-05,-180.52703627652323,-164.52801795839167,-15.999018318131538,False
3Q24,2024-11-01,BMO,2024-11-01,2024-10-31,7.71274316565318,160.6684703597361,-152.9557271940829,2024-11-01,-156.7049152252098,-24.703744315507592,-132.0011709097022,2024-11-04,318.39930404523597,150.14582181023295,168.25348223500302,False
4Q24,2025-01-31,BMO,2025-01-31,2025-01-30,82.81954541271563,-2.368335943206512,85.18788135592214,2025-01-31,-250.0684493930816,-368.36469765178845,118.29624825870688,2025-02-03,24.337732846579918,-5.917384696635164,30.255117543215082,False
1Q25,2025-05-02,BMO,2025-05-02,2025-05-01,14.200511218405154,156.74267827132616,-142.542167052921,2025-05-02,40.6504065040636,72.73913078800388,-32.08872428394027,2025-05-05,-276.81009321156137,-311.8548886467538,35.04479543519245,False
2Q25,2025-08-01,BMO,2025-08-01,2025-07-31,-23.235031277927256,-124.80795726531314,101.57292598738589,2025-08-01,-179.14725904693674,-172.30465345292268,-6.842605594014062,2025-08-04,-207.04122582998917,1.3219154745649497,-208.36314130455412,False
3Q25,2025-10-31,BMO,2025-10-31,2025-10-30,-151.13782739373138,-43.894498216147774,-107.24332917758362,2025-10-31,-28.773214752811917,117.46262147345644,-146.23583622626833,2025-11-03,-52.465897166841245,-97.38113491398947,44.915237747148225,False
4Q25,2026-01-30,BMO,2026-01-30,2026-01-29,212.9670010175877,123.00138460110865,89.96561641647905,2026-01-30,63.34068749555222,104.89464263273307,-41.55395513718085,2026-02-02,-212.16407355021173,-280.45413128636307,68.29005773615137,False
1Q26,2026-05-01,BMO,2026-05-01,2026-04-30,-21.98228486454901,-9.23730756881036,-12.744977295738646,2026-05-01,-102.37802112356698,-134.0491250840239,31.671103960456918,2026-05-04,61.53846153846176,194.83989804978918,-133.3014365113274,False
2Q26,2026-07-31,BMO,2026-07-31,2026-07-30,14.035087719297401,18.802758908407657,-4.767671189110256,2026-07-31,-97.47085430336978,186.9517362271398,-284.4225905305096,2026-08-03,-24.4467318579511,-196.94810794684446,172.50137608889338,False
