fq_label,announce_date,timing,t0,tm1_date,tm1_abs,tm1_bench,tm1_rel,t0_date,t0_abs,t0_bench,t0_rel,tp1_date,tp1_abs,tp1_bench,tp1_rel,timing_flag
1Q16,2016-04-29,BMO,2016-04-29,2016-04-28,-139.62445835339344,-158.35553044722062,18.731072093827184,2016-04-29,-21.484374999999332,35.38283923776597,-56.86721423776531,2016-05-02,110.58915639068357,-3.5063999313564853,114.09555632204004,False
2Q16,2016-07-29,BMO,2016-07-29,2016-07-28,-45.96127518091131,3.4848554186812652,-49.44613059959258,2016-07-29,67.78661951075682,110.63950932819289,-42.852889817436065,2016-08-01,-328.8446526151445,-274.62936059330303,-54.21529202184149,False
3Q16,2016-10-28,BMO,2016-10-28,2016-10-27,-125.50647297163708,91.74592680004378,-217.25239977168087,2016-10-28,390.3122497998379,-87.63564033420823,477.94789013404613,2016-10-31,89.57811596994824,-187.42291829903522,277.00103426898346,False
4Q16,2017-01-27,BMO,2017-01-27,2017-01-26,-58.853633572159005,55.548342545054254,-114.40197611721325,2017-01-27,-236.80823680823582,-66.75689427455644,-170.05134253367936,2017-01-30,-173.1259337375879,-236.54632983313095,63.42039609554307,False
1Q17,2017-04-28,BMO,2017-04-28,2017-04-27,-57.50377073906465,-133.7156969169877,76.21192617792306,2017-04-28,116.62084004930406,-10.559592952974262,127.18043300227832,2017-05-01,-73.10215557638222,-59.0972399372669,-14.004915639115323,False
2Q17,2017-07-28,BMO,2017-07-28,2017-07-27,94.17808219178036,101.07175867561801,-6.893676483837648,2017-07-28,189.42606728866275,5.412547667331236,184.0135196213315,2017-07-31,98.96411394746619,-31.392629086681943,130.35674303414814,False
3Q17,2017-10-27,BMO,2017-10-27,2017-10-26,0.0,60.73934362823552,-60.73934362823552,2017-10-27,-413.7115839243488,114.48422537462588,-528.1958092989747,2017-10-30,74.86348423463073,52.90582246425202,21.95766177037872,False
4Q17,2018-02-02,BMO,2018-02-02,2018-02-01,17.550857598722658,133.66155672607727,-116.11069912735462,2018-02-02,-556.6616229991239,-352.44999388109966,-204.21162911802426,2018-02-05,-502.61426884803507,-341.7869687762911,-160.82730007174396,False
1Q18,2018-04-27,BMO,2018-04-27,2018-04-26,122.22946544980351,155.42161702593305,-33.19215157612954,2018-04-27,193.20560296248735,-180.88491862297994,374.0905215854673,2018-04-30,-119.25446217027402,86.57020454970655,-205.82466671998054,False
2Q18,2018-07-27,BMO,2018-07-27,2018-07-26,-76.0608486789438,25.17837171183834,-101.23922039078215,2018-07-27,162.96893908834153,-109.57659647068341,272.5455355590249,2018-07-30,147.65420338175738,47.04351860037948,100.61068478137791,False
