ticker,n_events,outperform_pct,avg_rel_tm1,avg_rel_t0,avg_rel_tp1,avg_abs_rel_tm1,avg_abs_rel_t0,avg_abs_rel_tp1,follow_through_n,follow_through_hit,n_timing_flags,ci_lo,ci_hi,beat_rate,outperform_pct_etf,avg_abs_t0_abs,bench
HAL,42,0.42857142857142855,30.283694547579746,-33.122515417898775,19.671312846720515,115.35989557922544,265.5186128810689,170.78609251245564,12,0.5,1,0.3110663903566089,0.5547235115637698,0.8571428571428571,0.38095238095238093,317.5201258809763,OFS peers
SLB,42,0.40476190476190477,3.097911363080204,10.822739370111586,5.923144467874837,99.17182418633172,261.86344749780375,114.77313244509622,10,0.4,0,0.2896277122424357,0.5314254903180693,0.9285714285714286,0.42857142857142855,280.66412974700864,OFS peers
BKR,37,0.6216216216216216,13.555078711097662,72.4265472201896,26.333927865202277,119.44874549804916,343.0385472398689,173.2482760551348,12,0.4166666666666667,0,0.4864530937901403,0.7402127585584641,0.5945945945945946,0.6216216216216216,339.5875324658065,OFS peers
XOM,42,0.4523809523809524,26.863133406869814,-28.407982708804997,-22.93535215956104,80.57076756830699,131.34732337081422,104.11850596711527,10,0.4,0,0.3327750089011127,0.5777515923791396,0.6904761904761905,0.47619047619047616,204.018688576746,Producers peers
CVX,42,0.5714285714285714,-13.271080075211495,52.187224361316936,15.911131409421133,75.00809671088564,215.34323816087198,96.24674553557014,1,0.0,0,0.44527648843623013,0.6889336096433911,0.6666666666666666,0.5714285714285714,254.0552742323418,Producers peers
COP,42,0.5714285714285714,-8.132595227452027,34.93892699143799,-9.889044981434202,67.93025107577539,167.63880709142575,107.8215653843558,2,1.0,0,0.44527648843623013,0.6889336096433911,0.7380952380952381,0.5714285714285714,215.50365834269607,Producers peers
EOG,42,0.5,12.847518309058408,-19.70112892168306,-11.579306628225932,81.02264800736532,273.50420660376335,105.45541641332701,7,0.7142857142857143,0,0.37698647082266606,0.623013529177334,0.7142857142857143,0.42857142857142855,319.28151717397344,Producers peers
OXY,42,0.5238095238095238,-6.347023006649186,-35.34391319783555,39.889381228987794,82.12179733048445,307.3298851762915,151.28920103091428,5,0.2,0,0.3994859193907271,0.6452507799691468,0.6904761904761905,0.47619047619047616,365.7122350240826,Producers peers
FANG,42,0.5476190476190477,14.859757183034409,32.44937782525735,-51.18839577497516,97.311992099687,233.35386890689747,181.50932486978166,8,0.375,0,0.42224840762086036,0.6672249910988872,0.7380952380952381,0.5238095238095238,286.97576969892634,Producers peers
