fq_label,announce_date,timing,t0,tm1_date,tm1_abs,tm1_bench,tm1_rel,t0_date,t0_abs,t0_bench,t0_rel,tp1_date,tp1_abs,tp1_bench,tp1_rel,timing_flag
1Q16,2016-04-28,BMO,2016-04-28,2016-04-27,6.239600665558509,162.82691995028964,-156.58731928473114,2016-04-28,-91.4570775306589,-167.9890066117675,76.5319290811086,2016-04-29,25.173064820640523,26.051351273638,-0.8782864529974796,False
2Q16,2016-07-28,BMO,2016-07-28,2016-07-27,-176.51385143417463,-64.91789522465142,-111.59595620952322,2016-07-28,47.41702021462402,-15.1908036604258,62.60782387504982,2016-07-29,139.09587680079437,96.37765787018537,42.71821893060901,False
3Q16,2016-10-27,BMO,2016-10-27,2016-10-26,-2.391772303278472,-24.174625987884557,21.782853684606085,2016-10-27,526.3157894736859,-38.6185256890208,564.9343151627066,2016-10-28,220.45454545454479,-53.66409946514961,274.11864491969436,False
4Q16,2017-02-02,BMO,2017-02-02,2017-02-01,-53.3223954060702,-33.85668517027085,-19.46571023579935,2017-02-02,39.17525773195818,13.513622808096537,25.66163492386164,2017-02-03,357.36290819470054,66.90866102237014,290.4542471723304,False
1Q17,2017-05-02,AMC,2017-05-03,2017-05-02,-164.27969671440445,-51.6662345118748,-112.61346220252966,2017-05-03,81.37044967879925,82.22174177453145,-0.8512920957321966,2017-05-04,-246.3891248937966,-302.88581187195507,56.496686978158465,False
2Q17,2017-07-27,BMO,2017-07-27,2017-07-26,11.45475372279492,48.840752764632846,-37.38599904183793,2017-07-27,219.67963386727573,75.97144834051895,143.7081855267568,2017-07-28,134.34841021047862,16.42807908296806,117.92033112751055,False
3Q17,2017-10-26,BMO,2017-10-26,2017-10-25,-202.0003922337721,-17.08129259832436,-184.91909963544774,2017-10-26,300.2401921537223,0.6913051974910545,299.5488869562313,2017-10-27,-48.58142246405017,41.45819308256615,-90.03961554661632,False
4Q17,2018-02-01,BMO,2018-02-01,2018-01-31,59.8699965788585,4.3705339742934335,55.49946260456506,2018-02-01,91.82111885733812,118.80750447435418,-26.98638561701605,2018-02-02,-274.641954507161,-408.8539275794922,134.21197307233123,False
1Q18,2018-04-26,BMO,2018-04-26,2018-04-25,-38.27897718572948,47.26597063389048,-85.54494781961996,2018-04-26,293.57516138948546,121.15247783799666,172.4226835514888,2018-04-27,-301.62759444527285,-81.91827914142792,-219.70931530384496,False
2Q18,2018-07-26,BMO,2018-07-26,2018-07-25,93.15455187014932,114.15444350497106,-20.99989163482174,2018-07-26,40.55376870367722,1.8554482353141388,38.69832046836308,2018-07-27,-48.74651810584885,-67.23350503184534,18.486986925996487,False
3Q18,2018-10-25,BMO,2018-10-25,2018-10-24,-509.9682172782438,-374.01173108843057,-135.95648618981326,2018-10-25,354.6963008068205,97.15584860242066,257.5404522043998,2018-10-26,67.62716847986016,-61.23460137450932,128.86176985436947,False
4Q18,2019-01-31,BMO,2019-01-31,2019-01-30,59.72434915773262,111.32535241354357,-51.60100325581096,2019-01-31,304.4603440401894,62.5316969935048,241.9286470466846,2019-02-01,146.25498596543275,163.1641299220987,-16.909143956665986,False
1Q19,2019-04-30,BMO,2019-04-30,2019-04-29,-20.707231602421494,-64.58876877557285,43.88153717315135,2019-04-30,75.01995211492307,-23.19758160105212,98.2175337159752,2019-05-01,-71.29277566539804,-306.13654640965416,234.84377074425612,False
2Q19,2019-07-30,BMO,2019-07-30,2019-07-29,-95.31914893617044,-57.04533141561741,-38.27381752055303,2019-07-30,226.84310018903585,176.48979844153655,50.35330174749931,2019-07-31,-72.25676356914845,-81.58229546395646,9.325531894808,False
3Q19,2019-10-29,BMO,2019-10-29,2019-10-28,-118.89973380656672,-91.70118724189203,-27.19854656467468,2019-10-29,253.2327586206895,42.507881894422454,210.72487672626704,2019-10-30,-359.08215098966576,-238.3597361543761,-120.72241483528968,False
